"DateAndTime","OS_Rm253 (Bloomberg-2 East-Study 253) Occupancy","",
"2016-10-05 03:43:57","1","",
"2016-10-05 03:45:52","1","",
"2016-10-05 03:47:03","1","",
"2016-10-05 03:48:11","1","",
"2016-10-05 03:49:28","1","",
"2016-10-05 03:50:39","1","",
"2016-10-05 03:51:46","1","",
"2016-10-05 03:52:55","1","",
"2016-10-05 03:54:17","1","",
"2016-10-05 03:55:25","1","",
"2016-10-05 03:56:32","1","",
"2016-10-05 03:57:52","1","",
"2016-10-05 03:59:11","1","",
"2016-10-05 04:01:09","1","",
"2016-10-05 04:02:23","1","",
"2016-10-05 04:03:39","1","",
"2016-10-05 04:04:47","1","",
"2016-10-05 04:05:55","1","",
"2016-10-05 04:07:05","1","",
"2016-10-05 04:08:12","1","",
"2016-10-05 04:09:29","1","",
"2016-10-05 04:10:47","1","",
"2016-10-05 04:11:55","1","",
"2016-10-05 04:13:03","1","",
"2016-10-05 04:14:11","1","",
"2016-10-05 04:15:23","1","",
"2016-10-05 04:16:32","1","",
"2016-10-05 04:17:52","1","",
"2016-10-05 04:19:06","1","",
"2016-10-05 04:20:17","1","",
"2016-10-05 04:21:59","1","",
"2016-10-05 04:23:08","1","",
"2016-10-05 04:24:15","1","",
"2016-10-05 04:25:23","1","",
"2016-10-05 04:26:31","1","",
"2016-10-05 04:28:36","1","",
"2016-10-05 04:29:44","1","",
"2016-10-05 04:31:05","1","",
"2016-10-05 04:32:13","1","",
"2016-10-05 04:33:34","1","",
"2016-10-05 04:34:48","1","",
"2016-10-05 04:35:56","1","",
"2016-10-05 04:37:06","1","",
"2016-10-05 04:38:17","1","",
"2016-10-05 04:39:36","1","",
"2016-10-05 04:41:51","0","",
"2016-10-05 04:43:06","1","",
"2016-10-05 04:45:21","0","",
"2016-10-05 04:51:47","1","",
"2016-10-05 04:54:02","0","",
"2016-10-05 05:04:19","0","",
"2016-10-05 05:16:42","0","",
"2016-10-05 05:16:56","1","",
"2016-10-05 05:19:12","0","",
"2016-10-05 05:21:00","1","",
"2016-10-05 05:22:11","1","",
"2016-10-05 05:24:26","0","",
"2016-10-05 05:33:34","1","",
"2016-10-05 05:35:49","0","",
"2016-10-05 05:39:07","1","",
"2016-10-05 05:41:22","0","",
"2016-10-05 05:50:17","1","",
"2016-10-05 05:52:08","1","",
"2016-10-05 05:53:21","1","",
"2016-10-05 05:54:29","1","",
"2016-10-05 05:55:37","1","",
"2016-10-05 05:56:45","1","",
"2016-10-05 05:57:54","1","",
"2016-10-05 06:00:09","0","",
"2016-10-05 06:02:49","1","",
"2016-10-05 06:04:05","1","",
"2016-10-05 06:05:31","1","",
"2016-10-05 06:07:22","1","",
"2016-10-05 06:09:32","1","",
"2016-10-05 06:10:40","1","",
"2016-10-05 06:11:57","1","",
"2016-10-05 06:13:52","1","",
"2016-10-05 06:15:48","1","",
"2016-10-05 06:17:04","1","",
"2016-10-05 06:18:20","1","",
"2016-10-05 06:19:30","1","",
"2016-10-05 06:21:45","0","",
"2016-10-05 06:22:23","1","",
"2016-10-05 06:23:33","1","",
"2016-10-05 06:24:49","1","",
"2016-10-05 06:25:57","1","",
"2016-10-05 06:27:40","1","",
"2016-10-05 06:28:48","1","",
"2016-10-05 06:30:08","1","",
"2016-10-05 06:31:15","1","",
"2016-10-05 06:32:24","1","",
"2016-10-05 06:33:32","1","",
"2016-10-05 06:34:44","1","",
"2016-10-05 06:35:52","1","",
"2016-10-05 06:37:02","1","",
"2016-10-05 06:38:12","1","",
"2016-10-05 06:39:21","1","",
"2016-10-05 06:40:31","1","",
"2016-10-05 06:41:43","1","",
"2016-10-05 06:42:51","1","",
"2016-10-05 06:43:58","1","",
"2016-10-05 06:45:23","1","",
"2016-10-05 06:46:31","1","",
"2016-10-05 06:47:53","1","",
"2016-10-05 06:49:09","1","",
