"DateAndTime","OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy","",
"2016-10-05 19:54:50","1","",
"2016-10-05 19:56:44","0","",
"2016-10-05 20:05:04","1","",
"2016-10-05 20:06:58","0","",
"2016-10-05 20:07:40","1","",
"2016-10-05 20:09:35","0","",
"2016-10-05 20:20:02","0","",
"2016-10-05 20:26:35","1","",
"2016-10-05 20:28:29","0","",
"2016-10-05 20:30:53","1","",
"2016-10-05 20:32:47","0","",
"2016-10-05 20:41:10","1","",
"2016-10-05 20:42:11","1","",
"2016-10-05 20:43:08","1","",
"2016-10-05 20:45:02","0","",
"2016-10-05 20:45:38","1","",
"2016-10-05 20:47:32","0","",
"2016-10-05 20:57:59","0","",
"2016-10-05 21:08:26","0","",
"2016-10-05 21:18:54","0","",
"2016-10-05 21:29:20","0","",
"2016-10-05 21:39:47","0","",
"2016-10-05 21:50:14","0","",
"2016-10-05 22:00:41","0","",
"2016-10-05 22:01:38","1","",
"2016-10-05 22:03:25","1","",
"2016-10-05 22:05:07","1","",
"2016-10-05 22:06:48","1","",
"2016-10-05 22:07:58","1","",
"2016-10-05 22:09:27","1","",
"2016-10-05 22:11:21","0","",
"2016-10-05 22:13:25","1","",
"2016-10-05 22:14:27","1","",
"2016-10-05 22:15:26","1","",
"2016-10-05 22:17:20","0","",
"2016-10-05 22:23:19","1","",
"2016-10-05 22:24:37","1","",
"2016-10-05 22:25:47","1","",
"2016-10-05 22:27:41","0","",
"2016-10-05 22:38:08","0","",
"2016-10-05 22:48:36","0","",
"2016-10-05 22:59:03","0","",
"2016-10-05 23:04:57","1","",
"2016-10-05 23:06:51","0","",
"2016-10-05 23:08:51","1","",
"2016-10-05 23:10:12","1","",
"2016-10-05 23:12:06","0","",
"2016-10-05 23:22:33","0","",
"2016-10-05 23:23:28","1","",
"2016-10-05 23:24:25","1","",
"2016-10-05 23:25:31","1","",
"2016-10-05 23:26:34","1","",
"2016-10-05 23:28:28","0","",
"2016-10-05 23:28:50","1","",
"2016-10-05 23:30:44","0","",
"2016-10-05 23:33:58","1","",
"2016-10-05 23:35:52","0","",
"2016-10-05 23:36:33","1","",
"2016-10-05 23:38:27","0","",
"2016-10-05 23:38:30","1","",
"2016-10-05 23:40:24","0","",
"2016-10-05 23:48:20","1","",
"2016-10-05 23:49:18","1","",
"2016-10-05 23:51:12","0","",
