"DateAndTime","OS_Rm353 (Bloomberg-3-Study 353) Occupancy","",
"2016-10-05 12:47:59","0","",
"2016-10-05 12:57:03","0","",
"2016-10-05 12:58:46","1","",
"2016-10-05 13:00:24","0","",
"2016-10-05 13:00:56","1","",
"2016-10-05 13:02:35","0","",
"2016-10-05 13:11:39","0","",
"2016-10-05 13:20:43","0","",
"2016-10-05 13:29:48","0","",
"2016-10-05 13:38:52","0","",
"2016-10-05 13:47:57","0","",
"2016-10-05 13:57:01","0","",
"2016-10-05 14:06:06","0","",
"2016-10-05 14:15:11","0","",
"2016-10-05 14:24:16","0","",
"2016-10-05 14:33:21","0","",
"2016-10-05 14:42:26","0","",
"2016-10-05 14:51:31","0","",
"2016-10-05 14:59:04","1","",
"2016-10-05 15:00:42","0","",
"2016-10-05 15:06:00","1","",
"2016-10-05 15:07:00","1","",
"2016-10-05 15:08:40","0","",
"2016-10-05 15:17:45","0","",
"2016-10-05 15:26:51","0","",
"2016-10-05 15:30:18","1","",
"2016-10-05 15:31:36","1","",
"2016-10-05 15:33:15","0","",
"2016-10-05 15:42:22","0","",
"2016-10-05 15:51:28","0","",
"2016-10-05 16:00:34","0","",
"2016-10-05 16:08:27","1","",
"2016-10-05 16:09:17","1","",
"2016-10-05 16:10:57","0","",
"2016-10-05 16:12:25","1","",
"2016-10-05 16:13:31","1","",
"2016-10-05 16:15:10","0","",
"2016-10-05 16:20:16","1","",
"2016-10-05 16:21:55","0","",
"2016-10-05 16:28:13","1","",
"2016-10-05 16:29:53","0","",
"2016-10-05 16:38:59","0","",
"2016-10-05 16:48:06","0","",
"2016-10-05 16:52:13","1","",
"2016-10-05 16:53:52","0","",
"2016-10-05 16:55:07","1","",
"2016-10-05 16:56:47","0","",
"2016-10-05 17:02:27","1","",
"2016-10-05 17:13:14","0","",
"2016-10-05 17:22:20","0","",
"2016-10-05 17:31:27","0","",
"2016-10-05 17:40:33","0","",
"2016-10-05 17:43:13","1","",
"2016-10-05 17:44:53","0","",
"2016-10-05 17:46:01","1","",
"2016-10-05 17:47:40","0","",
