"DateAndTime","OS_Corr357 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-08-29 08:18:19","1","",
"2016-08-29 08:19:32","1","",
"2016-08-29 08:21:36","0","",
"2016-08-29 08:25:46","1","",
"2016-08-29 08:27:50","0","",
"2016-08-29 08:29:05","1","",
"2016-08-29 08:31:09","0","",
"2016-08-29 08:36:54","1","",
"2016-08-29 08:38:12","1","",
"2016-08-29 08:39:24","1","",
"2016-08-29 08:41:28","0","",
"2016-08-29 08:44:18","1","",
"2016-08-29 08:46:22","0","",
"2016-08-29 08:49:58","1","",
"2016-08-29 08:52:02","0","",
"2016-08-29 09:03:24","0","",
"2016-08-29 09:14:46","0","",
"2016-08-29 09:23:48","1","",
"2016-08-29 09:24:50","1","",
"2016-08-29 09:25:56","1","",
"2016-08-29 09:27:00","1","",
"2016-08-29 09:29:04","0","",
"2016-08-29 09:32:46","1","",
"2016-08-29 09:33:59","1","",
"2016-08-29 09:35:37","1","",
"2016-08-29 09:37:36","1","",
"2016-08-29 09:39:40","0","",
"2016-08-29 09:46:36","1","",
"2016-08-29 09:47:51","1","",
"2016-08-29 09:49:55","0","",
"2016-08-29 10:01:17","0","",
"2016-08-29 10:05:23","1","",
"2016-08-29 10:07:27","0","",
"2016-08-29 10:09:54","1","",
"2016-08-29 10:11:58","0","",
"2016-08-29 10:23:20","0","",
"2016-08-29 10:27:39","1","",
"2016-08-29 10:29:43","0","",
"2016-08-29 10:30:05","1","",
"2016-08-29 10:32:09","0","",
"2016-08-29 10:39:43","1","",
"2016-08-29 10:40:57","1","",
"2016-08-29 10:43:01","0","",
"2016-08-29 10:43:15","1","",
"2016-08-29 10:44:18","1","",
"2016-08-29 10:45:21","1","",
"2016-08-29 10:46:23","1","",
"2016-08-29 10:47:38","1","",
"2016-08-29 10:49:13","1","",
"2016-08-29 10:51:17","0","",
"2016-08-29 11:00:59","1","",
"2016-08-29 11:03:04","0","",
"2016-08-29 11:03:24","1","",
"2016-08-29 11:04:26","1","",
"2016-08-29 11:05:33","1","",
"2016-08-29 11:06:44","1","",
"2016-08-29 11:07:46","1","",
"2016-08-29 11:09:50","0","",
"2016-08-29 11:10:08","1","",
"2016-08-29 11:11:11","1","",
"2016-08-29 11:12:43","1","",
"2016-08-29 11:13:49","1","",
"2016-08-29 11:14:58","1","",
"2016-08-29 11:17:02","0","",
"2016-08-29 11:18:13","1","",
"2016-08-29 11:20:17","0","",
"2016-08-29 11:23:26","1","",
"2016-08-29 11:25:30","0","",
"2016-08-29 11:30:05","1","",
"2016-08-29 11:31:10","1","",
"2016-08-29 11:32:18","1","",
"2016-08-29 11:33:20","1","",
"2016-08-29 11:35:24","0","",
"2016-08-29 11:36:51","1","",
"2016-08-29 11:38:55","0","",
"2016-08-29 11:47:01","1","",
"2016-08-29 11:49:05","0","",
"2016-08-29 12:00:27","0","",
"2016-08-29 12:00:53","1","",
