"DateAndTime","OS_Corr130A (Bloomberg-1 West-Corridor 130) Occupancy","",
"2016-08-29 19:35:55","1","",
"2016-08-29 19:38:30","1","",
"2016-08-29 19:48:34","0","",
"2016-08-29 19:53:23","1","",
"2016-08-29 19:56:35","1","",
"2016-08-29 20:02:06","1","",
"2016-08-29 20:12:09","0","",
"2016-08-29 20:32:13","0","",
"2016-08-29 21:06:36","1","",
"2016-08-29 21:16:40","0","",
"2016-08-29 21:28:56","1","",
"2016-08-29 21:30:58","1","",
"2016-08-29 21:34:06","1","",
"2016-08-29 21:44:10","0","",
"2016-08-29 22:04:13","0","",
"2016-08-29 23:04:23","0","",
"2016-08-30 00:04:34","0","",
"2016-08-30 01:04:43","0","",
"2016-08-30 02:04:53","0","",
"2016-08-30 03:05:02","0","",
"2016-08-30 04:05:13","0","",
"2016-08-30 05:05:22","0","",
"2016-08-30 06:05:31","0","",
"2016-08-30 07:05:40","0","",
"2016-08-30 07:18:37","1","",
"2016-08-30 07:28:41","0","",
"2016-08-30 07:48:44","0","",
"2016-08-30 07:58:47","1","",
"2016-08-30 08:07:25","1","",
"2016-08-30 08:17:28","0","",
"2016-08-30 08:37:32","0","",
"2016-08-30 09:37:41","0","",
"2016-08-30 10:37:52","0","",
"2016-08-30 10:47:59","1","",
"2016-08-30 10:56:11","1","",
"2016-08-30 10:58:25","1","",
"2016-08-30 11:04:10","1","",
"2016-08-30 11:06:36","1","",
"2016-08-30 11:16:39","0","",
"2016-08-30 11:20:34","1","",
"2016-08-30 11:30:38","0","",
"2016-08-30 11:49:21","1","",
"2016-08-30 11:54:10","1","",
"2016-08-30 11:57:01","1","",
"2016-08-30 12:03:23","1","",
"2016-08-30 12:13:27","0","",
"2016-08-30 12:19:12","1","",
"2016-08-30 12:29:16","0","",
"2016-08-30 12:49:20","0","",
"2016-08-30 13:10:38","1","",
"2016-08-30 13:15:11","1","",
"2016-08-30 13:25:15","0","",
"2016-08-30 13:45:19","0","",
"2016-08-30 14:45:30","0","",
