"DateAndTime","OS_bloom-hall131 (Bloomberg-1 West-Hall 131) Occupancy","",
"2016-08-28 22:30:58","0","",
"2016-08-28 22:41:26","0","",
"2016-08-28 22:51:54","0","",
"2016-08-28 23:02:22","0","",
"2016-08-28 23:12:50","0","",
"2016-08-28 23:23:18","0","",
"2016-08-28 23:33:45","0","",
"2016-08-28 23:44:13","0","",
"2016-08-28 23:54:41","0","",
"2016-08-29 00:05:08","0","",
"2016-08-29 00:15:34","0","",
"2016-08-29 00:26:02","0","",
"2016-08-29 00:36:29","0","",
"2016-08-29 00:46:56","0","",
"2016-08-29 00:57:23","0","",
"2016-08-29 01:07:50","0","",
"2016-08-29 01:18:18","0","",
"2016-08-29 01:28:46","0","",
"2016-08-29 01:39:14","0","",
"2016-08-29 01:49:41","0","",
"2016-08-29 02:00:09","0","",
"2016-08-29 02:10:36","0","",
"2016-08-29 02:21:04","0","",
"2016-08-29 02:31:32","0","",
"2016-08-29 02:42:00","0","",
"2016-08-29 02:52:28","0","",
"2016-08-29 03:02:56","0","",
"2016-08-29 03:13:24","0","",
"2016-08-29 03:23:53","0","",
"2016-08-29 03:34:21","0","",
"2016-08-29 03:44:49","0","",
"2016-08-29 03:55:18","0","",
"2016-08-29 04:05:45","0","",
"2016-08-29 04:16:13","0","",
"2016-08-29 04:26:41","0","",
"2016-08-29 04:37:09","0","",
"2016-08-29 04:47:37","0","",
"2016-08-29 04:58:06","0","",
"2016-08-29 05:08:33","0","",
"2016-08-29 05:19:02","0","",
"2016-08-29 05:29:30","0","",
"2016-08-29 05:39:58","0","",
"2016-08-29 05:50:26","0","",
"2016-08-29 06:00:53","0","",
"2016-08-29 06:11:21","0","",
"2016-08-29 06:21:49","0","",
"2016-08-29 06:32:17","0","",
"2016-08-29 06:42:45","0","",
"2016-08-29 06:53:13","0","",
"2016-08-29 07:03:41","0","",
"2016-08-29 07:14:08","0","",
"2016-08-29 07:24:36","0","",
"2016-08-29 07:35:03","0","",
"2016-08-29 07:45:31","0","",
"2016-08-29 07:55:59","0","",
"2016-08-29 08:06:27","0","",
"2016-08-29 08:16:55","0","",
"2016-08-29 08:27:22","0","",
"2016-08-29 08:37:50","0","",
"2016-08-29 08:48:19","0","",
"2016-08-29 08:58:47","0","",
"2016-08-29 09:09:14","0","",
"2016-08-29 09:19:43","0","",
"2016-08-29 09:30:12","0","",
"2016-08-29 09:40:40","0","",
"2016-08-29 09:44:01","1","",
"2016-08-29 09:45:55","0","",
"2016-08-29 09:56:23","0","",
"2016-08-29 10:06:51","0","",
"2016-08-29 10:17:20","0","",
"2016-08-29 10:26:38","1","",
"2016-08-29 10:28:33","0","",
"2016-08-29 10:30:03","1","",
"2016-08-29 10:31:58","0","",
"2016-08-29 10:32:45","1","",
"2016-08-29 10:34:05","1","",
"2016-08-29 10:35:59","0","",
"2016-08-29 10:39:04","1","",
"2016-08-29 10:40:59","0","",
"2016-08-29 10:41:36","1","",
"2016-08-29 10:43:30","0","",
"2016-08-29 10:54:00","0","",
"2016-08-29 11:04:28","0","",
"2016-08-29 11:04:31","1","",
"2016-08-29 11:06:25","0","",
"2016-08-29 11:06:26","1","",
"2016-08-29 11:08:20","0","",
"2016-08-29 11:16:26","1","",
"2016-08-29 11:18:20","0","",
"2016-08-29 11:28:48","0","",
"2016-08-29 11:39:17","0","",
"2016-08-29 11:49:46","0","",
"2016-08-29 12:00:15","0","",
"2016-08-29 12:10:43","0","",
"2016-08-29 12:21:10","0","",
"2016-08-29 12:31:38","0","",
"2016-08-29 12:42:06","0","",
"2016-08-29 12:52:07","1","",
"2016-08-29 12:53:23","1","",
"2016-08-29 12:55:17","0","",
"2016-08-29 13:05:47","0","",
"2016-08-29 13:16:15","0","",
"2016-08-29 13:26:44","0","",
"2016-08-29 13:37:13","0","",
"2016-08-29 13:47:40","0","",
"2016-08-29 13:58:08","0","",
"2016-08-29 13:58:49","1","",
"2016-08-29 14:00:42","0","",
"2016-08-29 14:05:48","1","",
"2016-08-29 14:07:42","0","",
"2016-08-29 14:18:11","0","",
"2016-08-29 14:25:16","1","",
"2016-08-29 14:27:10","0","",
"2016-08-29 14:37:37","0","",
"2016-08-29 14:48:05","0","",
"2016-08-29 14:48:27","1","",
"2016-08-29 14:50:21","0","",
"2016-08-29 15:00:50","0","",
"2016-08-29 15:11:18","0","",
"2016-08-29 15:21:47","0","",
"2016-08-29 15:32:15","0","",
"2016-08-29 15:42:44","0","",
"2016-08-29 15:53:12","0","",
"2016-08-29 16:03:40","0","",
"2016-08-29 16:09:45","1","",
"2016-08-29 16:11:40","0","",
"2016-08-29 16:17:05","1","",
"2016-08-29 16:18:59","0","",
"2016-08-29 16:29:28","0","",
"2016-08-29 16:38:38","1","",
"2016-08-29 16:40:32","0","",
"2016-08-29 16:42:40","1","",
"2016-08-29 16:44:34","0","",
"2016-08-29 16:55:03","0","",
"2016-08-29 17:05:30","0","",
"2016-08-29 17:15:57","0","",
"2016-08-29 17:18:54","1","",
"2016-08-29 17:20:48","0","",
"2016-08-29 17:21:00","1","",
"2016-08-29 17:22:54","0","",
"2016-08-29 17:33:22","0","",
"2016-08-29 17:43:50","0","",
"2016-08-29 17:54:19","0","",
"2016-08-29 18:04:47","0","",
"2016-08-29 18:15:16","0","",
"2016-08-29 18:25:44","0","",
"2016-08-29 18:33:08","1","",
"2016-08-29 18:35:02","0","",
"2016-08-29 18:45:30","0","",
