"DateAndTime","OS_Hall121 (Bloomberg-1 West-Hall 121) Occupancy","",
"2016-08-28 16:39:49","1","",
"2016-08-28 16:40:49","1","",
"2016-08-28 16:41:47","1","",
"2016-08-28 16:42:51","1","",
"2016-08-28 16:44:46","0","",
"2016-08-28 16:55:17","0","",
"2016-08-28 17:05:48","0","",
"2016-08-28 17:16:19","0","",
"2016-08-28 17:26:50","0","",
"2016-08-28 17:37:21","0","",
"2016-08-28 17:47:52","0","",
"2016-08-28 17:58:23","0","",
"2016-08-28 18:08:53","0","",
"2016-08-28 18:19:24","0","",
"2016-08-28 18:29:55","0","",
"2016-08-28 18:40:25","0","",
"2016-08-28 18:50:56","0","",
"2016-08-28 18:58:33","0","",
"2016-08-28 18:58:49","1","",
"2016-08-28 19:00:41","1","",
"2016-08-28 19:01:39","1","",
"2016-08-28 19:03:33","0","",
"2016-08-28 19:04:02","1","",
"2016-08-28 19:05:56","0","",
"2016-08-28 19:10:52","1","",
"2016-08-28 19:12:27","1","",
"2016-08-28 19:14:21","0","",
"2016-08-28 19:23:04","1","",
"2016-08-28 19:28:14","1","",
"2016-08-28 19:29:49","1","",
"2016-08-28 19:31:12","1","",
"2016-08-28 19:32:10","1","",
"2016-08-28 19:33:19","1","",
"2016-08-28 19:34:25","1","",
"2016-08-28 19:35:23","1","",
"2016-08-28 19:37:17","0","",
"2016-08-28 19:42:28","1","",
"2016-08-28 19:44:22","0","",
"2016-08-28 19:54:53","0","",
"2016-08-28 19:58:52","1","",
"2016-08-28 20:00:03","1","",
"2016-08-28 20:01:57","0","",
"2016-08-28 20:12:28","0","",
"2016-08-28 20:22:59","0","",
"2016-08-28 20:33:30","0","",
"2016-08-28 20:44:01","0","",
"2016-08-28 20:54:32","0","",
"2016-08-28 21:04:00","1","",
"2016-08-28 21:04:58","1","",
"2016-08-28 21:06:52","0","",
"2016-08-28 21:17:23","0","",
"2016-08-28 21:27:53","0","",
"2016-08-28 21:28:16","1","",
"2016-08-28 21:29:33","1","",
"2016-08-28 21:31:28","0","",
"2016-08-28 21:32:03","1","",
"2016-08-28 21:33:57","0","",
"2016-08-28 21:34:35","1","",
"2016-08-28 21:36:30","0","",
"2016-08-28 21:36:50","1","",
"2016-08-28 21:38:45","0","",
"2016-08-28 21:39:46","1","",
"2016-08-28 21:40:54","1","",
"2016-08-28 21:42:09","1","",
"2016-08-28 21:43:22","1","",
"2016-08-28 21:44:48","1","",
"2016-08-28 21:46:43","0","",
"2016-08-28 21:50:56","1","",
"2016-08-28 21:52:50","0","",
"2016-08-28 21:59:05","1","",
"2016-08-28 22:00:35","1","",
"2016-08-28 22:02:30","0","",
"2016-08-28 22:02:38","1","",
"2016-08-28 22:04:33","0","",
"2016-08-28 22:15:04","0","",
"2016-08-28 22:15:53","1","",
"2016-08-28 22:17:48","0","",
"2016-08-28 22:19:04","1","",
"2016-08-28 22:20:58","0","",
"2016-08-28 22:22:17","1","",
"2016-08-28 22:24:12","0","",
"2016-08-28 22:25:55","1","",
"2016-08-28 22:27:28","1","",
"2016-08-28 22:28:52","1","",
"2016-08-28 22:30:08","1","",
"2016-08-28 22:32:02","0","",
"2016-08-28 22:32:13","1","",
"2016-08-28 22:33:38","1","",
"2016-08-28 22:35:33","0","",
"2016-08-28 22:36:22","1","",
"2016-08-28 22:38:17","0","",
"2016-08-28 22:38:55","1","",
"2016-08-28 22:40:50","0","",
"2016-08-28 22:51:21","0","",
"2016-08-28 23:01:51","0","",
"2016-08-28 23:12:21","0","",
"2016-08-28 23:22:52","0","",
"2016-08-28 23:33:23","0","",
"2016-08-28 23:43:54","0","",
"2016-08-28 23:54:26","0","",
"2016-08-29 00:04:57","0","",
"2016-08-29 00:15:28","0","",
"2016-08-29 00:26:00","0","",
"2016-08-29 00:36:31","0","",
"2016-08-29 00:47:02","0","",
"2016-08-29 00:57:34","0","",
"2016-08-29 01:08:05","0","",
"2016-08-29 01:18:36","0","",
"2016-08-29 01:19:19","1","",
"2016-08-29 01:21:13","0","",
"2016-08-29 01:21:26","1","",
"2016-08-29 01:23:21","0","",
"2016-08-29 01:33:52","0","",
"2016-08-29 01:44:24","0","",
"2016-08-29 01:54:55","0","",
"2016-08-29 02:05:25","0","",
"2016-08-29 02:15:57","0","",
"2016-08-29 02:26:28","0","",
"2016-08-29 02:36:59","0","",
"2016-08-29 02:43:23","1","",
"2016-08-29 02:44:21","1","",
"2016-08-29 02:46:16","0","",
"2016-08-29 02:56:47","0","",
"2016-08-29 03:07:18","0","",
"2016-08-29 03:17:49","0","",
"2016-08-29 03:28:20","0","",
"2016-08-29 03:38:52","0","",
"2016-08-29 03:49:23","0","",
"2016-08-29 03:59:54","0","",
"2016-08-29 04:10:25","0","",
"2016-08-29 04:20:57","0","",
"2016-08-29 04:31:28","0","",
"2016-08-29 04:42:00","0","",
"2016-08-29 04:52:31","0","",
"2016-08-29 05:03:03","0","",
"2016-08-29 05:13:35","0","",
"2016-08-29 05:24:07","0","",
"2016-08-29 05:34:38","0","",
"2016-08-29 05:45:10","0","",
"2016-08-29 05:55:41","0","",
"2016-08-29 06:06:13","0","",
"2016-08-29 06:16:45","0","",
"2016-08-29 06:27:16","0","",
"2016-08-29 06:37:48","0","",
"2016-08-29 06:48:19","0","",
"2016-08-29 06:50:13","1","",
"2016-08-29 06:52:07","0","",
"2016-08-29 06:52:26","1","",
"2016-08-29 06:54:20","0","",
"2016-08-29 06:55:43","1","",
"2016-08-29 06:57:11","1","",
"2016-08-29 06:58:27","1","",
"2016-08-29 06:59:33","1","",
"2016-08-29 07:00:55","1","",
"2016-08-29 07:02:43","1","",
"2016-08-29 07:03:40","1","",
"2016-08-29 07:05:35","0","",
"2016-08-29 07:06:11","1","",
"2016-08-29 07:07:27","1","",
"2016-08-29 07:08:32","1","",
"2016-08-29 07:09:52","1","",
"2016-08-29 07:10:49","1","",
"2016-08-29 07:12:43","1","",
"2016-08-29 07:14:38","0","",
"2016-08-29 07:14:44","1","",
"2016-08-29 07:16:39","0","",
"2016-08-29 07:17:41","1","",
"2016-08-29 07:19:02","1","",
"2016-08-29 07:20:57","0","",
"2016-08-29 07:31:28","0","",
"2016-08-29 07:42:00","0","",
"2016-08-29 07:52:31","0","",
"2016-08-29 08:03:01","0","",
"2016-08-29 08:13:33","0","",
"2016-08-29 08:24:04","0","",
"2016-08-29 08:34:35","0","",
"2016-08-29 08:45:06","0","",
"2016-08-29 08:55:37","0","",
"2016-08-29 09:06:08","0","",
"2016-08-29 09:16:39","0","",
"2016-08-29 09:27:10","0","",
"2016-08-29 09:37:41","0","",
"2016-08-29 09:48:13","0","",
"2016-08-29 09:58:44","0","",
"2016-08-29 10:09:15","0","",
"2016-08-29 10:19:46","0","",
"2016-08-29 10:30:18","0","",
"2016-08-29 10:40:48","0","",
"2016-08-29 10:50:12","1","",
"2016-08-29 10:51:54","1","",
"2016-08-29 10:53:48","0","",
"2016-08-29 11:04:19","0","",
"2016-08-29 11:06:35","1","",
"2016-08-29 11:08:29","0","",
"2016-08-29 11:11:34","1","",
"2016-08-29 11:12:32","1","",
"2016-08-29 11:14:06","1","",
"2016-08-29 11:15:08","1","",
"2016-08-29 11:16:08","1","",
"2016-08-29 11:18:03","0","",
"2016-08-29 11:28:34","0","",
"2016-08-29 11:39:05","0","",
"2016-08-29 11:42:54","1","",
"2016-08-29 11:44:48","0","",
"2016-08-29 11:45:24","1","",
"2016-08-29 11:46:22","1","",
"2016-08-29 11:48:16","0","",
"2016-08-29 11:55:33","1","",
"2016-08-29 11:57:27","0","",
"2016-08-29 11:59:45","1","",
"2016-08-29 12:01:39","0","",
"2016-08-29 12:04:51","1","",
"2016-08-29 12:05:54","1","",
"2016-08-29 12:07:12","1","",
"2016-08-29 12:08:52","1","",
"2016-08-29 12:10:36","1","",
"2016-08-29 12:12:30","0","",
"2016-08-29 12:21:31","1","",
"2016-08-29 12:23:09","1","",
"2016-08-29 12:25:04","0","",
"2016-08-29 12:35:35","0","",
"2016-08-29 12:35:58","1","",
"2016-08-29 12:37:53","0","",
"2016-08-29 12:40:57","1","",
"2016-08-29 12:42:07","1","",
"2016-08-29 12:43:27","1","",
"2016-08-29 12:45:22","0","",
"2016-08-29 12:47:51","1","",
"2016-08-29 12:49:46","0","",
"2016-08-29 12:52:14","1","",
"2016-08-29 12:53:13","1","",
"2016-08-29 12:55:07","0","",
"2016-08-29 13:05:40","0","",
"2016-08-29 13:16:12","0","",
"2016-08-29 13:26:43","0","",
"2016-08-29 13:37:14","0","",
"2016-08-29 13:47:46","0","",
"2016-08-29 13:58:17","0","",
"2016-08-29 14:08:48","0","",
"2016-08-29 14:19:19","0","",
"2016-08-29 14:29:51","0","",
"2016-08-29 14:40:22","0","",
"2016-08-29 14:50:54","0","",
"2016-08-29 15:01:25","0","",
"2016-08-29 15:11:56","0","",
"2016-08-29 15:22:28","0","",
"2016-08-29 15:32:59","0","",
"2016-08-29 15:43:30","0","",
"2016-08-29 15:54:01","0","",
"2016-08-29 16:04:32","0","",
