"DateAndTime","OS_Corr266 (Bloomberg-2 East-Corridor 200E) Occupancy","",
"2016-09-25 11:13:46","0","",
"2016-09-25 11:17:52","1","",
"2016-09-25 11:19:34","0","",
"2016-09-25 11:19:40","1","",
"2016-09-25 11:21:22","0","",
"2016-09-25 11:25:45","1","",
"2016-09-25 11:27:27","0","",
"2016-09-25 11:28:15","1","",
"2016-09-25 11:29:17","1","",
"2016-09-25 11:30:43","1","",
"2016-09-25 11:32:25","0","",
"2016-09-25 11:33:31","1","",
"2016-09-25 11:34:40","1","",
"2016-09-25 11:36:21","0","",
"2016-09-25 11:38:24","1","",
"2016-09-25 11:39:15","1","",
"2016-09-25 11:40:56","0","",
"2016-09-25 11:42:02","1","",
"2016-09-25 11:43:17","1","",
"2016-09-25 11:44:59","0","",
"2016-09-25 11:49:02","1","",
"2016-09-25 11:49:53","1","",
"2016-09-25 11:51:10","1","",
"2016-09-25 11:52:03","1","",
"2016-09-25 11:53:45","0","",
"2016-09-25 11:54:24","1","",
"2016-09-25 11:55:46","1","",
"2016-09-25 11:57:28","0","",
"2016-09-25 11:59:45","1","",
"2016-09-25 12:01:24","1","",
"2016-09-25 12:03:02","1","",
"2016-09-25 12:04:15","1","",
"2016-09-25 12:05:57","0","",
"2016-09-25 12:09:21","1","",
"2016-09-25 12:11:02","0","",
"2016-09-25 12:12:22","1","",
"2016-09-25 12:14:04","0","",
"2016-09-25 12:15:30","1","",
"2016-09-25 12:17:12","0","",
"2016-09-25 12:19:09","1","",
"2016-09-25 12:20:50","0","",
"2016-09-25 12:24:41","1","",
"2016-09-25 12:26:23","0","",
"2016-09-25 12:31:15","1","",
"2016-09-25 12:32:56","0","",
"2016-09-25 12:33:41","1","",
"2016-09-25 12:35:23","0","",
"2016-09-25 12:38:47","1","",
"2016-09-25 12:40:13","1","",
"2016-09-25 12:41:48","1","",
"2016-09-25 12:43:29","0","",
"2016-09-25 12:49:35","1","",
"2016-09-25 12:50:32","1","",
"2016-09-25 12:51:49","1","",
"2016-09-25 12:52:55","1","",
"2016-09-25 12:54:37","0","",
"2016-09-25 12:56:54","1","",
"2016-09-25 12:57:45","1","",
"2016-09-25 12:59:26","0","",
"2016-09-25 13:02:13","1","",
"2016-09-25 13:03:54","0","",
"2016-09-25 13:06:53","1","",
"2016-09-25 13:08:34","0","",
"2016-09-25 13:09:03","1","",
"2016-09-25 13:10:45","0","",
"2016-09-25 13:11:24","1","",
"2016-09-25 13:13:05","0","",
"2016-09-25 13:13:43","1","",
"2016-09-25 13:15:24","0","",
"2016-09-25 13:16:09","1","",
"2016-09-25 13:17:04","1","",
"2016-09-25 13:18:45","0","",
"2016-09-25 13:18:46","1","",
"2016-09-25 13:20:28","0","",
"2016-09-25 13:23:20","1","",
"2016-09-25 13:25:02","0","",
"2016-09-25 13:34:20","0","",
"2016-09-25 13:40:13","1","",
"2016-09-25 13:41:31","1","",
"2016-09-25 13:42:43","1","",
"2016-09-25 13:44:24","0","",
"2016-09-25 13:50:16","1","",
"2016-09-25 13:51:58","0","",
"2016-09-25 13:56:30","1","",
"2016-09-25 13:58:12","0","",
"2016-09-25 13:58:27","1","",
"2016-09-25 13:59:18","1","",
"2016-09-25 14:00:59","0","",
"2016-09-25 14:01:39","1","",
"2016-09-25 14:03:20","0","",
"2016-09-25 14:11:46","1","",
"2016-09-25 14:13:27","0","",
"2016-09-25 14:18:43","1","",
"2016-09-25 14:20:24","0","",
"2016-09-25 14:28:38","1","",
"2016-09-25 14:30:19","0","",
"2016-09-25 14:30:34","1","",
"2016-09-25 14:32:16","0","",
"2016-09-25 14:33:45","1","",
"2016-09-25 14:35:27","0","",
