"DateAndTime","OS_Corr366 (Bloomberg-3-corridor 300E) Occupancy","",
"2016-10-05 00:00:10","0","",
"2016-10-05 00:02:43","1","",
"2016-10-05 00:04:35","0","",
"2016-10-05 00:04:48","1","",
"2016-10-05 00:06:40","0","",
"2016-10-05 00:06:55","1","",
"2016-10-05 00:08:47","0","",
"2016-10-05 00:10:21","1","",
"2016-10-05 00:12:13","0","",
"2016-10-05 00:12:31","1","",
"2016-10-05 00:14:23","0","",
"2016-10-05 00:15:18","1","",
"2016-10-05 00:17:10","0","",
"2016-10-05 00:19:03","1","",
"2016-10-05 00:20:55","0","",
"2016-10-05 00:24:05","1","",
"2016-10-05 00:25:57","0","",
"2016-10-05 00:27:36","1","",
"2016-10-05 00:29:28","0","",
"2016-10-05 00:30:40","1","",
"2016-10-05 00:32:32","0","",
"2016-10-05 00:33:34","1","",
"2016-10-05 00:35:26","0","",
"2016-10-05 00:37:21","1","",
"2016-10-05 00:39:13","0","",
"2016-10-05 00:41:31","1","",
"2016-10-05 00:42:52","1","",
"2016-10-05 00:44:44","0","",
"2016-10-05 00:46:00","1","",
"2016-10-05 00:47:52","0","",
"2016-10-05 00:48:15","1","",
"2016-10-05 00:50:07","0","",
"2016-10-05 00:50:47","1","",
"2016-10-05 00:51:55","1","",
"2016-10-05 00:53:47","0","",
"2016-10-05 01:04:03","0","",
"2016-10-05 01:06:58","1","",
"2016-10-05 01:08:50","0","",
"2016-10-05 01:09:11","1","",
"2016-10-05 01:10:16","1","",
"2016-10-05 01:11:21","1","",
"2016-10-05 01:13:11","1","",
"2016-10-05 01:15:03","0","",
"2016-10-05 01:15:28","1","",
"2016-10-05 01:17:21","0","",
"2016-10-05 01:18:33","1","",
"2016-10-05 01:20:25","0","",
"2016-10-05 01:21:32","1","",
"2016-10-05 01:23:24","0","",
"2016-10-05 01:28:06","1","",
"2016-10-05 01:29:58","0","",
"2016-10-05 01:31:31","1","",
"2016-10-05 01:33:23","0","",
"2016-10-05 01:38:06","1","",
"2016-10-05 01:39:03","1","",
"2016-10-05 01:40:55","0","",
"2016-10-05 01:41:10","1","",
"2016-10-05 01:43:02","0","",
"2016-10-05 01:43:49","1","",
"2016-10-05 01:44:59","1","",
"2016-10-05 01:46:51","0","",
"2016-10-05 01:49:42","1","",
"2016-10-05 01:51:34","0","",
"2016-10-05 01:53:36","1","",
"2016-10-05 01:55:19","1","",
"2016-10-05 01:57:11","0","",
"2016-10-05 02:01:16","1","",
"2016-10-05 02:03:08","0","",
"2016-10-05 02:13:24","0","",
"2016-10-05 02:23:40","0","",
"2016-10-05 02:23:47","1","",
"2016-10-05 02:25:39","0","",
"2016-10-05 02:30:35","1","",
"2016-10-05 02:32:27","0","",
"2016-10-05 02:32:48","1","",
"2016-10-05 02:34:40","0","",
"2016-10-05 02:44:55","0","",
"2016-10-05 02:46:53","1","",
"2016-10-05 02:48:45","0","",
"2016-10-05 02:53:08","1","",
"2016-10-05 02:55:00","0","",
"2016-10-05 02:55:56","1","",
"2016-10-05 02:57:48","0","",
"2016-10-05 02:59:16","1","",
"2016-10-05 03:01:07","0","",
"2016-10-05 03:07:02","1","",
"2016-10-05 03:08:15","1","",
"2016-10-05 03:09:21","1","",
"2016-10-05 03:10:27","1","",
"2016-10-05 03:12:19","0","",
"2016-10-05 03:22:35","0","",
"2016-10-05 03:27:19","1","",
"2016-10-05 03:28:37","1","",
"2016-10-05 03:30:29","0","",
"2016-10-05 03:40:44","0","",
"2016-10-05 03:46:34","1","",
"2016-10-05 03:48:19","1","",
"2016-10-05 03:50:11","0","",
